-- TIMES

INSERT INTO Times (Nome, Cidade, Estado, AnoFundacao, Estadio, CapacidadeEstadio, CorUniformePrimaria, CorUniformeSecundaria, Status)
VALUES
('Tigre FC', 'Fortaleza', 'CE', 1950, 'Estádio Tigre FC', 52000, 'Laranja', 'Preto', 1),
('Águia Azul', 'Belém', 'PA', 1951, 'Estádio Águia Azul', 52500, 'Azul', 'Branco', 1),
('Leões do Norte', 'Manaus', 'AM', 1952, 'Estádio Leões do Norte', 53000, 'Vermelho', 'Azul', 1),
('Furacão do Sul', 'Curitiba', 'PR', 1953, 'Estádio Furacão do Sul', 53500, 'Verde', 'Amarelo', 1),
('Dragões da Serra', 'Caxias', 'RS', 1954, 'Estádio Dragões da Serra', 54000, 'Roxo', 'Verde', 1),
('Cavaleiros de Aço', 'Campinas', 'SP', 1955, 'Estádio Cavaleiros de Aço', 54500, 'Cinza', 'Preto', 1),
('Estrelas do Oeste', 'Goiânia', 'GO', 1956, 'Estádio Estrelas do Oeste', 55000, 'Dourado', 'Branco', 1),
('Império Central', 'Brasília', 'DF', 1957, 'Estádio Império Central', 55500, 'Branco', 'Cinza', 1),
('Tempestade FC', 'Salvador', 'BA', 1958, 'Estádio Tempestade FC', 56000, 'Preto', 'Vermelho', 1),
('Raios da Montanha', 'Petrópolis', 'RJ', 1959, 'Estádio Raios da Montanha', 56500, 'Azul Marinho', 'Amarelo', 1),
('Marujos do Norte', 'Macapá', 'AP', 1960, 'Estádio Marujos do Norte', 57000, 'Amarelo', 'Preto', 1),
('Falcões do Vale', 'São José', 'SC', 1961, 'Estádio Falcões do Vale', 57500, 'Verde Escuro', 'Branco', 1),
('Corujas do Sul', 'Porto Alegre', 'RS', 1962, 'Estádio Corujas do Sul', 58000, 'Rosa', 'Azul', 1),
('Panteras Negras', 'Vitória', 'ES', 1963, 'Estádio Panteras Negras', 58500, 'Bordô', 'Cinza', 1),
('Lobos da Fronteira', 'Foz do Iguaçu', 'PR', 1964, 'Estádio Lobos da Fronteira', 59000, 'Azul Claro', 'Verde', 1),
('Guardiões da Areia', 'Natal', 'RN', 1965, 'Estádio Guardiões da Areia', 59500, 'Cinza Escuro', 'Preto', 1),
('Vento Leste FC', 'Aracaju', 'SE', 1966, 'Estádio Vento Leste FC', 60000, 'Lilás', 'Branco', 1),
('Titãs do Cerrado', 'Palmas', 'TO', 1967, 'Estádio Titãs do Cerrado', 60500, 'Marrom', 'Dourado', 1),
('Ciclones de Ouro', 'Uberlândia', 'MG', 1968, 'Estádio Ciclones de Ouro', 61000, 'Púrpura', 'Cinza', 1),
('Renegados FC', 'Bauru', 'SP', 1969, 'Estádio Renegados FC', 61500, 'Ciano', 'Verde', 1);

-- JOGADORES

SET IDENTITY_INSERT Jogadors ON;

INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (1, 'Luiz Otávio Mendes', '19940106', 'Coral Sea Islands', 3, 52, 1.69, 74, 0, 1);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (89, 'Benjamin Rodrigues', '20000228', 'Israel', 4, 24, 1.85, 73, 1, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (90, 'João Felipe Santos', '19910811', 'Ilhas Virgens Americanas', 1, 9, 1.96, 73, 2, 3);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (91, 'Catarina Rocha', '19921022', 'Jersey', 4, 81, 1.92, 93, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (92, 'Agatha Ramos', '19930731', 'Território Britânico do Oceano Índico', 3, 85, 1.91, 84, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (93, 'Pedro Lucas da Paz', '19891229', 'Salvador', 4, 73, 1.82, 66, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (94, 'Nicolas Teixeira', '19891107', 'Paquistão', 0, 81, 1.91, 92, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (95, 'Vinicius da Rocha', '20020524', 'Itália', 3, 18, 1.71, 73, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (96, 'Vinicius Carvalho', '19980115', 'Omã', 0, 29, 1.69, 86, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (97, 'Laura Monteiro', '19910627', 'Polônia', 3, 55, 1.74, 84, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (98, 'Sr. Marcos Vinicius da Mata', '19990614', 'Rússia', 2, 70, 1.88, 83, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (99, 'Evelyn Peixoto', '20050623', 'Lesoto', 3, 88, 1.83, 97, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (100, 'Kevin Fernandes', '20000321', 'Territórios Austrais Franceses', 0, 16, 1.74, 76, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (101, 'Dra. Alícia da Cunha', '20010525', 'Suazilândia', 1, 25, 1.66, 100, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (102, 'Cauê Cavalcanti', '20060911', 'Antártica', 1, 87, 1.74, 88, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (103, 'Laís Pereira', '20011111', 'Botsuana', 2, 76, 1.82, 87, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (104, 'Rafaela Araújo', '19930828', 'Sara Ocidental', 4, 28, 1.73, 77, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (105, 'Ana Clara Viana', '20000315', 'Iêmen', 4, 10, 1.8, 83, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (106, 'Luiz Felipe Castro', '19970702', 'Canadá', 0, 67, 1.77, 72, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (107, 'Carolina Cardoso', '20070203', 'Suriname', 3, 53, 1.72, 98, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (108, 'Bárbara Vieira', '20020914', 'Polinésia Francesa', 4, 88, 1.65, 98, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (109, 'Catarina Caldeira', '20000427', 'Islândia', 3, 69, 1.9, 85, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (110, 'Emanuel Caldeira', '19950530', 'Malta', 0, 83, 1.71, 68, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (111, 'Fernando Ferreira', '20010113', 'Ucrânia', 3, 29, 1.99, 89, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (112, 'Rafaela Rodrigues', '20050718', 'Guiné Equatorial', 2, 77, 1.95, 81, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (113, 'Isadora Novaes', '19900701', 'República Dominicana', 3, 64, 1.69, 77, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (114, 'Srta. Vitória Teixeira', '19950121', 'São Vicente e Granadinas', 0, 51, 1.69, 72, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (115, 'Alícia Costela', '20000528', 'Noruega', 0, 34, 1.92, 72, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (116, 'Yasmin Duarte', '20070324', 'Jan Mayen', 3, 82, 2.0, 93, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (117, 'Leandro Teixeira', '19900605', 'Seicheles', 0, 85, 1.68, 80, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (118, 'Dr. Thales Porto', '19991031', 'Macedônia', 1, 95, 1.97, 99, 2, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (119, 'Mariane das Neves', '19950429', 'Vaticano', 1, 17, 1.76, 74, 0, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (120, 'Ana Sophia Rocha', '20040101', 'Iraque', 3, 63, 1.92, 75, 1, 4);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (121, 'Maria Alice da Cunha', '19910814', 'Grécia', 4, 22, 1.81, 81, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (122, 'Lara Silva', '19900214', 'Indonésia', 3, 85, 1.81, 94, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (123, 'Enrico Pereira', '19920525', 'Paraguai', 1, 16, 1.98, 80, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (124, 'Marcelo Cunha', '19930123', 'Fiji', 0, 96, 1.92, 81, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (125, 'Mariane Souza', '20031223', 'Dhekelia', 4, 68, 1.9, 90, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (126, 'Davi Lucas Cavalcanti', '20050126', 'Itália', 2, 6, 1.86, 84, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (127, 'Lorena Aragão', '20021108', 'Brunei', 3, 97, 1.67, 74, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (128, 'Carlos Eduardo Freitas', '19970521', 'Tonga', 0, 95, 1.86, 61, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (129, 'Lara Rodrigues', '19981219', 'Guatemala', 3, 52, 1.72, 64, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (130, 'Murilo Costela', '19980421', 'Território Britânico do Oceano Índico', 3, 30, 1.74, 65, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (131, 'Dr. Thiago Almeida', '20070225', 'República Checa', 3, 39, 1.77, 97, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (132, 'Augusto Costela', '20001121', 'Paraguai', 1, 71, 1.82, 64, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (133, 'Maria Julia Viana', '19980508', 'Ilha do Natal', 1, 19, 1.77, 71, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (134, 'Gabriel Jesus', '20011018', 'Birmânia', 2, 44, 1.84, 100, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (135, 'Benjamin Costa', '19990803', 'Sérvia', 2, 59, 1.7, 84, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (136, 'Marcela Lima', '19961009', 'Venezuela', 4, 77, 1.76, 63, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (137, 'Gabriela Farias', '19960215', 'São Pedro e Miquelon', 1, 27, 1.98, 73, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (138, 'Daniela Castro', '20021113', 'Dhekelia', 0, 58, 1.95, 84, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (139, 'Ana Carolina Teixeira', '20000826', 'Hungria', 0, 83, 1.72, 94, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (140, 'Valentina Monteiro', '19910718', 'Malta', 1, 82, 1.91, 87, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (141, 'Arthur Dias', '19931107', 'Chile', 4, 88, 1.83, 85, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (142, 'Srta. Yasmin Azevedo', '19890720', 'Turquia', 4, 45, 1.81, 92, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (143, 'Davi Lucas Jesus', '20020505', 'Ashmore and Cartier Islands', 3, 10, 1.7, 73, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (144, 'Maria Fernanda Correia', '19950118', 'Ilhas dos Cocos', 3, 92, 1.79, 94, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (145, 'Sr. Thiago Monteiro', '19890513', 'Congo-Brazzaville', 4, 60, 1.89, 71, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (146, 'Pedro Miguel Gomes', '19960519', 'Quirguizistão', 4, 87, 1.9, 86, 1, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (147, 'Alana Pires', '19950125', 'Tuvalu', 0, 77, 1.95, 93, 2, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (148, 'Natália Castro', '19950405', 'Portugal', 3, 31, 1.7, 90, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (149, 'Maria Dias', '20000323', 'Ilhas Falkland', 1, 47, 1.82, 85, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (150, 'Alice Mendes', '19931004', 'Honduras', 3, 27, 1.78, 61, 0, 5);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (151, 'Maria Vitória da Mota', '19940305', 'Namíbia', 2, 41, 1.68, 68, 1, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (152, 'Samuel Nunes', '19901020', 'Ilhas Heard e McDonald', 1, 91, 1.69, 63, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (153, 'Valentina Duarte', '19891030', 'Ucrânia', 0, 78, 1.67, 99, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (154, 'André Silva', '19960815', 'Turquemenistão', 1, 64, 1.81, 92, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (155, 'Anthony Farias', '19950827', 'Eslováquia', 3, 96, 1.67, 75, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (156, 'Cauã Novaes', '20040811', 'Micronésia', 4, 53, 1.88, 80, 1, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (157, 'Bernardo Alves', '19930623', 'Etiópia', 4, 86, 1.92, 75, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (158, 'Maria Fernanda Almeida', '19891201', 'Croácia', 1, 22, 1.87, 69, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (159, 'Dr. Yuri Barros', '20011016', 'Nova Caledónia', 2, 99, 1.78, 80, 1, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (160, 'Helena Martins', '19931112', 'Canadá', 2, 49, 1.84, 69, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (161, 'Yasmin da Costa', '20010312', 'Palau', 2, 62, 1.87, 89, 1, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (162, 'Enzo Moreira', '20010807', 'Bahamas', 3, 35, 1.97, 65, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (163, 'Matheus Costela', '20011223', 'Libéria', 1, 85, 1.95, 67, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (164, 'Mirella Freitas', '20070207', 'Chile', 1, 14, 1.75, 83, 1, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (165, 'Vitor Hugo Fernandes', '19941024', 'Suécia', 2, 55, 1.73, 96, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (166, 'Beatriz Ramos', '19910315', 'Jersey', 1, 56, 1.78, 90, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (167, 'Ana Sophia Ramos', '20050512', 'Libéria', 2, 39, 2.0, 79, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (168, 'Kamilly da Paz', '20031011', 'Suécia', 0, 39, 1.8, 76, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (169, 'Luiz Fernando Moraes', '20011227', 'Tanzânia', 3, 22, 1.67, 64, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (170, 'Thales Silva', '20051001', 'Micronésia', 4, 41, 1.65, 74, 1, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (171, 'Rebeca Monteiro', '19920416', 'Croácia', 3, 47, 1.97, 83, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (172, 'Yago da Costa', '19980302', 'México', 1, 68, 1.9, 70, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (173, 'Lucas Moraes', '20050922', 'Porto Rico', 4, 56, 2.0, 72, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (174, 'João Gabriel Farias', '19951001', 'Taiwan', 1, 84, 1.81, 78, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (175, 'Sra. Juliana Azevedo', '20060202', 'Quirguizistão', 3, 12, 1.72, 71, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (176, 'Heloísa Rocha', '20041024', 'Jibuti', 3, 71, 1.69, 82, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (177, 'Rodrigo Costa', '19940504', 'Albânia', 2, 13, 1.7, 71, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (178, 'Sabrina da Paz', '20061014', 'Afeganistão', 2, 88, 1.98, 73, 2, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (179, 'Levi Lima', '19990520', 'Arábia Saudita', 0, 87, 1.89, 62, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (180, 'Luiz Miguel Rocha', '19951022', 'Ilhas Marshall', 4, 70, 1.98, 80, 0, 6);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (181, 'Sra. Melissa Correia', '19910726', 'Bielorrússia', 3, 28, 1.65, 90, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (182, 'Isabelly da Mata', '19930503', 'Libéria', 0, 89, 1.98, 60, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (183, 'Raul Martins', '20030313', 'Chade', 0, 30, 1.85, 86, 1, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (184, 'Bárbara Cunha', '19951006', 'Nepal', 2, 33, 1.7, 67, 2, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (185, 'Breno Nogueira', '19940923', 'Equador', 2, 38, 1.76, 76, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (186, 'Sr. Rodrigo da Rosa', '20010417', 'Costa Rica', 4, 6, 1.75, 61, 0, 7);
INSERT INTO Jogadors (JogadorId, Nome, DataNascimento, Nacionalidade, Posicao, NumeroCamisa, Altura, Peso, PePreferido, TimeId) VALUES (187, 'João Pedro Moura', '20000328', 'Bósnia e Herzegovina', 1, 51, 1.86, 71, 2, 7);
